input,orig_kb,size,quality,out_kb,wrote,note
"saint-bernadette-soubirous_2.jpg",201,1600,95,468,yes,
"saint-bernadette-soubirous_3.jpg",270,1600,95,330,yes,
"saint-bernadette-soubirous.jpg",496,1600,95,770,yes,
"saint-blandina_bayard.jpg",187,1600,95,257,yes,
"saint-blandina_guillemet.jpg",25,1600,95,34,yes,
"saint-blandina_stained-glass.jpg",2472,1600,95,490,yes,
"saint-caesarius-of-arles_icon.jpg",128,1600,95,185,yes,
"saint-clothilde.jpg",277,1600,95,490,yes,
"saint-clothilde_loo.jpg",475,1600,95,493,yes,
"saint-genevieve_attila.jpg",168,1600,95,266,yes,
"saint-genevieve_gustafson.jpg",732,1600,95,558,yes,
"saint-genevieve.jpg",2177,1600,95,671,yes,
"saint-genevieve_laurens.jpg",71,1600,95,131,yes,
"saint-genevieve_le-brun.jpg",253,1600,95,303,yes,
"saint-ivo-of-kermartin_jordaens.jpg",37011,1600,95,737,yes,
"saint-ivo-of-kermartin_weyden.jpg",2598,1600,95,556,yes,
"saint-joan-of-arc_benouville.jpg",2265,1600,95,483,yes,
"saint-joan-of-arc_gasparo.jpg",205,1600,95,266,yes,
"saint-joan-of-arc_hillingford.jpg",318,1600,95,504,yes,
"saint-joan-of-arc_lenepveu_2.jpg",1194,1600,95,915,yes,
"saint-joan-of-arc_lenepveu_3.jpg",1551,1600,95,527,yes,
"saint-joan-of-arc_lenepveu_4.jpg",941,1600,95,370,yes,
"saint-joan-of-arc_lenepveu.jpg",120,1600,95,132,yes,
"saint-joan-of-arc_lynch.jpg",954,1600,95,313,yes,
"saint-joan-of-arc_millais.jpg",862,1600,95,586,yes,
"saint-joan-of-arc_scherrer.jpg",251,1600,95,321,yes,
"saint-joan-of-arc_stilke_2.jpg",252,1600,95,359,yes,
"saint-joan-of-arc_stilke.jpg",282,1600,95,421,yes,
"saint-joan-of-arc_thirion.jpg",875,1600,95,490,yes,
"saint-pothinus.jpg",4265,1600,95,688,yes,
"saint-pothinus_stained-glass.jpg",4265,1600,95,688,yes,
"saint-remigius_clovis.jpg",15208,1600,95,801,yes,
"saint-remigius.jpg",296,1600,95,462,yes,
"saint-remigius_wine.jpg",1536,1600,95,473,yes,
"saint-clothilde_deveria.JPG",44,1600,95,65,yes,
